facility_id;address;city;medium;meter_id;meter_manufacturer;gateway_id;gateway_product_model;phone;ip;port;gateway_status;meter_status;utc_offset
653;Duvstigen 03;Perstorp;District heating;68139950;ELV;12041742;CMi2110;07190000502406;NULL;NULL;OK;OK;+1
654;Tjäderstigen 09;Perstorp;District heating;67841497;ELV;12035325;CMi2110;07190000417025;NULL;NULL;OK;OK;+1
655;Hässleholmsvägen 37;Perstorp;District heating;67970002;ELV;12037335;CMi2110;07190000426127;NULL;NULL;OK;OK;+1
656;Parkvägen 50;Perstorp;District heating;68349220;ELV;12046902;CMi2110;0037282172586;NULL;NULL;OK;OK;+1
657;Järnvägsgatan 12;Perstorp;District heating;67190510;ELV;12022328;CMi2110;07190000388920;NULL;NULL;OK;OK;+1
658;Duvstigen 09;Perstorp;District heating;67841443;ELV;12036129;CMi2110;07190000417083;NULL;NULL;OK;OK;+1
659;Köpmangatan 06;Perstorp;District heating;68140043;ELV;12041021;CMi2110;07190000502478;NULL;NULL;OK;OK;+1
660;Industrigatan 21;Perstorp;District heating;67190526;ELV;12022342;CMi2110;07190000388940;NULL;NULL;OK;OK;+1
661;Köpmangatan 13;Perstorp;District heating;68140049;ELV;12041043;CMi2110;07190000502438;NULL;NULL;OK;OK;+1
662;Hässleholmsvägen 57;Perstorp;District heating;67970074;ELV;12037322;CMi2110;07190000426112;NULL;NULL;OK;OK;+1
663;Tjäderstigen 35;Perstorp;District heating;67841448;ELV;12036115;CMi2110;07190000417097;NULL;NULL;OK;OK;+1
664;Kolonigatan 16;Perstorp;District heating;68140048;ELV;12041056;CMi2110;07190000502433;NULL;NULL;OK;OK;+1
665;Köpmangatan 21;Perstorp;District heating;67970086;ELV;12037080;CMi2110;07190000426203;NULL;NULL;OK;OK;+1
666;Kolonigatan 04;Perstorp;District heating;68140022;ELV;12041005;CMi2110;07190000502465;NULL;NULL;OK;OK;+1
667;Färgarevägen 03;Perstorp;District heating;67841391;ELV;12036110;CMi2110;07190000417117;NULL;NULL;OK;OK;+1
668;Mossvägen 36;Perstorp;District heating;67606232;ELV;12031999;CMi2110;07190000355039;NULL;NULL;OK;OK;+1
669;Kolonigatan 12;Perstorp;District heating;67606226;ELV;12031832;CMi2110;07190000355158;NULL;NULL;OK;OK;+1
670;Lärkvägen 15;Perstorp;District heating;67841437;ELV;12036108;CMi2110;07190000417104;NULL;NULL;OK;OK;+1
671;Stockholmsvägen 57;Perstorp;District heating;68139939;ELV;12041044;CMi2110;07190000502456;NULL;NULL;OK;OK;+1
672;Färgarevägen 33;Perstorp;District heating;67841482;ELV;12035341;CMi2110;07190000417008;NULL;NULL;OK;OK;+1
673;Oderljungavägen 55;Perstorp;District heating;67970123;ELV;12036866;CMi2110;07190000426218;NULL;NULL;OK;OK;+1
674;Oderljungavägen 53;Perstorp;District heating;67970138;ELV;12036877;CMi2110;07190000426223;NULL;NULL;OK;OK;+1
675;Alvägen 27;Perstorp;District heating;67970052;ELV;12037344;CMi2110;07190000426133;NULL;NULL;OK;OK;+1
676;"Duvstigen 8 A ";Perstorp;District heating;67190492;ELV;12022605;CMi2110;07190000388892;NULL;NULL;OK;OK;+1
678;Stockholmsvägen 26;Perstorp;District heating;67970125;ELV;12036873;CMi2110;07190000426227;NULL;NULL;OK;OK;+1
